Time sum_kwh count_users
19501 890.154 981
19503 731.362 981
19505 632.906 981
19507 588.423 981
19509 538.249 981
19511 561.158 981
19513 670.736 981
19515 887.432 981
19517 1182.254 981
19519 1399.771 981
19521 1560.343 981
19523 1623.41 981
19525 1621.132 981
19527 1588.742 981
19529 1554.193 981
19531 1507.729 981
19533 1688.1680000000001 981
19535 1864.901 981
19537 1728.402 981
19539 1533.55 981
19541 1388.228 981
19543 1413.733 981
19545 1448.673 981
19547 1167.444 981
19601 855.97 981
19603 667.599 981
19605 595.903 981
19607 564.072 981
19609 543.331 981
19611 545.183 981
19613 650.155 981
19615 926.015 981
19617 1249.564 981
19619 1435.318 981
19621 1538.846 981
19623 1603.229 981
19625 1627.388 981
19627 1587.141 981
19629 1523.459 981
19631 1501.52 981
19633 1604.825 981
19635 1725.95 981
19637 1611.881 981
19639 1457.376 981
19641 1341.3799999999999 981
19643 1380.311 981
19645 1445.366 981
19647 1197.939 981
19701 918.9540000000001 981
19703 721.014 981
19705 634.723 981
19707 577.406 981
19709 530.973 981
19711 557.782 981
19713 636.398 981
19715 882.286 981
19717 1210.89 981
19719 1408.492 981
19721 1500.196 981
19723 1585.28 981
19725 1607.038 981
19727 1576.971 981
19729 1501.527 981
19731 1510.158 981
19733 1625.316 981
19735 1781.522 981
19737 1633.143 981
19739 1478.883 981
19741 1380.617 981
19743 1368.07 981
19745 1381.914 981
19747 1186.824 981
19801 923.91 981
19803 715.299 981
19805 653.333 981
19807 574.797 981
19809 527.942 981
19811 568.805 981
19813 636.391 981
19815 879.294 981
19817 1187.788 981
19819 1438.402 981
19821 1565.6970000000001 981
19823 1566.496 981
19825 1616.403 981
19827 1532.463 981
19829 1509.675 981
19831 1480.577 981
19833 1593.776 981
19835 1657.672 981
19837 1566.551 981
19839 1423.603 981
19841 1414.046 981
19843 1331.848 981
19845 1356.018 981
19847 1198.373 981
19901 948.385 981
19903 768.763 981
19905 667.1659999999999 981
19907 598.7 981
19909 539.117 981
19911 540.924 981
19913 588.806 981
19915 714.494 981
19917 909.235 981
19919 1240.426 981
19921 1433.14 981
19923 1525.408 981
19925 1616.033 981
19927 1586.365 981
19929 1483.13 981
19931 1434.128 981
19933 1476.442 981
19935 1540.075 981
19937 1414.477 981
19939 1406.643 981
19941 1334.8220000000001 981
19943 1301.286 981
19945 1301.369 981
19947 1124.555 981
20001 917.545 981
20003 734.635 981
20005 629.616 981
20007 567.6850000000001 981
20009 552.586 981
20011 532.791 981
20013 542.18 981
20015 647.897 981
20017 823.704 981
20019 1124.807 981
20021 1338.506 981
20023 1416.054 981
20025 1508.512 981
20027 1483.025 981
20029 1391.748 981
20031 1264.762 981
20033 1242.524 981
20035 1349.817 981
20037 1360.94 981
20039 1321.595 981
20041 1300.917 981
20043 1303.588 981
20045 1354.964 981
20047 1158.265 981
20101 926.086 980
20103 750.254 980
