Time sum_kwh count_users mean_kwh day hour prediction
19501 5877.712 6287 0.93489931604899 195 0 0.93489931604899
19503 4657.405 6287 0.7407992683314776 195 1 0.7407992683314776
19505 4098.212 6287 0.6518549387625258 195 2 0.6518549387625258
19507 3910.384 6287 0.6219793224113249 195 3 0.6219793224113249
19509 3844.359 6287 0.6114774932400191 195 4 0.6114774932400191
19511 3944.519 6287 0.6274087800222682 195 5 0.6274087800222682
19513 4713.017 6287 0.7496448226499125 195 6 0.7496448226499125
19515 6268.03 6287 0.9969826626371878 195 7 0.9969826626371878
19517 8334.667 6287 1.3256985843804676 195 8 1.3256985843804676
19519 9982.587 6287 1.5878140607602989 195 9 1.5878140607602989
19521 10830.172 6287 1.722629553045968 195 10 1.722629553045968
19523 11144.343 6287 1.7726010815969462 195 11 1.7726010815969462
19525 11453.625 6287 1.8217949737553685 195 12 1.8217949737553685
19527 11021.178 6287 1.7530106569110864 195 13 1.7530106569110864
19529 10809.021 6287 1.7192653093685384 195 14 1.7192653093685384
19531 10805.391 6287 1.7186879274693811 195 15 1.7186879274693811
19533 11632.707 6287 1.850279465563862 195 16 1.850279465563862
19535 12457.572 6287 1.981481151582631 195 17 1.981481151582631
19537 11405.808 6287 1.814189279465564 195 18 1.814189279465564
19539 10404.1 6287 1.6548592333386354 195 19 1.6548592333386354
19541 9602.606 6287 1.527374900588516 195 20 1.527374900588516
19543 9563.287 6287 1.5211208843645618 195 21 1.5211208843645618
19545 9686.957 6287 1.540791633529505 195 22 1.540791633529505
19547 7915.295 6287 1.258993955781772 195 23 1.258993955781772
19601 5913.9580000000005 6288 0.9405149491094148 196 0 0.9405149491094148
19603 4626.376 6288 0.7357468193384225 196 1 0.7357468193384225
19605 4102.706 6288 0.6524659669211196 196 2 0.6524659669211196
19607 3876.759 6288 0.6165329198473283 196 3 0.6165329198473283
19609 3850.166 6288 0.6123037531806617 196 4 0.6123037531806617
19611 3884.294 6288 0.6177312340966921 196 5 0.6177312340966921
19613 4651.632 6288 0.7397633587786259 196 6 0.7397633587786259
19615 6425.358 6288 1.021844465648855 196 7 1.021844465648855
19617 8586.099 6288 1.3654737595419848 196 8 1.3654737595419848
19619 10157.813 6288 1.615428276081425 196 9 1.615428276081425
