mean_kwh day hour prediction
0.93489931604899 195 0 0.93489931604899
0.7407992683314776 195 1 0.7407992683314776
0.6518549387625258 195 2 0.6518549387625258
0.6219793224113249 195 3 0.6219793224113249
0.6114774932400191 195 4 0.6114774932400191
0.6274087800222682 195 5 0.6274087800222682
0.7496448226499125 195 6 0.7496448226499125
0.9969826626371878 195 7 0.9969826626371878
1.3256985843804676 195 8 1.3256985843804676
1.5878140607602989 195 9 1.5878140607602989
1.722629553045968 195 10 1.722629553045968
1.7726010815969462 195 11 1.7726010815969462
1.8217949737553685 195 12 1.8217949737553685
1.7530106569110864 195 13 1.7530106569110864
1.7192653093685384 195 14 1.7192653093685384
1.7186879274693811 195 15 1.7186879274693811
1.850279465563862 195 16 1.850279465563862
1.981481151582631 195 17 1.981481151582631
1.814189279465564 195 18 1.814189279465564
1.6548592333386354 195 19 1.6548592333386354
1.527374900588516 195 20 1.527374900588516
1.5211208843645618 195 21 1.5211208843645618
1.540791633529505 195 22 1.540791633529505
1.258993955781772 195 23 1.258993955781772
0.9405149491094148 196 0 0.9405149491094148
0.7357468193384225 196 1 0.7357468193384225
0.6524659669211196 196 2 0.6524659669211196
0.6165329198473283 196 3 0.6165329198473283
0.6123037531806617 196 4 0.6123037531806617
0.6177312340966921 196 5 0.6177312340966921
0.7397633587786259 196 6 0.7397633587786259
1.021844465648855 196 7 1.021844465648855
1.3654737595419848 196 8 1.3654737595419848
1.615428276081425 196 9 1.615428276081425
1.718559796437659 196 10 1.718559796437659
1.756619751908397 196 11 1.756619751908397
1.8031612595419848 196 12 1.8031612595419848
1.7270459605597963 196 13 1.7270459605597963
1.655651876590331 196 14 1.655651876590331
1.6707935750636134 196 15 1.6707935750636134
1.7603223600508904 196 16 1.7603223600508904
1.886701017811705 196 17 1.886701017811705
1.7464996819338423 196 18 1.7464996819338423
1.5441614185750636 196 19 1.5441614185750636
1.4252773536895675 196 20 1.4252773536895675
1.4135505725190838 196 21 1.4135505725190838
1.5137523854961832 196 22 1.5137523854961832
1.26791618956743 196 23 1.26791618956743
0.955816823024328 197 0 0.955816823024328
0.7513102242009858 197 1 0.7513102242009858
0.6603390046112259 197 2 0.6603390046112259
0.6232968675465097 197 3 0.6232968675465097
0.6119597710287804 197 4 0.6119597710287804
0.6155708379710606 197 5 0.6155708379710606
0.7347597392272222 197 6 0.7347597392272222
1.0128085546191763 197 7 1.0128085546191763
1.3551854030847512 197 8 1.3551854030847512
1.5899960248052156 197 9 1.5899960248052156
1.6503781205279058 197 10 1.6503781205279058
1.6868463984735251 197 11 1.6868463984735251
1.7626807123549053 197 12 1.7626807123549053
1.7041663221497854 197 13 1.7041663221497854
1.6636815073938622 197 14 1.6636815073938622
1.6628960089044365 197 15 1.6628960089044365
1.7530585148672286 197 16 1.7530585148672286
1.901107489266974 197 17 1.901107489266974
1.772743520432501 197 18 1.772743520432501
1.5817816823024329 197 19 1.5817816823024329
1.500329464143743 197 20 1.500329464143743
1.4928494196215614 197 21 1.4928494196215614
1.5086072507552872 197 22 1.5086072507552872
1.255922563205597 197 23 1.255922563205597
0.951767334605598 198 0 0.951767334605598
0.7408287213740459 198 1 0.7408287213740459
0.660975986005089 198 2 0.660975986005089
0.6222665394402035 198 3 0.6222665394402035
0.6059064885496184 198 4 0.6059064885496184
0.6304982506361324 198 5 0.6304982506361324
0.7297614503816794 198 6 0.7297614503816794
0.9839198473282442 198 7 0.9839198473282442
1.329968193384224 198 8 1.329968193384224
1.601933524173028 198 9 1.601933524173028
1.7246073473282444 198 10 1.7246073473282444
1.7626145038167935 198 11 1.7626145038167935
1.7845714058524174 198 12 1.7845714058524174
1.7206455152671756 198 13 1.7206455152671756
1.6467838740458014 198 14 1.6467838740458014
1.6325559796437656 198 15 1.6325559796437656
1.6794115776081424 198 16 1.6794115776081424
1.7729363867684478 198 17 1.7729363867684478
1.6728358778625954 198 18 1.6728358778625954
1.5366482188295163 198 19 1.5366482188295163
1.4113640267175571 198 20 1.4113640267175571
1.4179643765903307 198 21 1.4179643765903307
1.482907124681934 198 22 1.482907124681934
1.283365776081425 198 23 1.283365776081425
1.0216790712468191 199 0 1.0216790712468191
0.8088090012722646 199 1 0.8088090012722646
0.6970294211195929 199 2 0.6970294211195929
0.6429115776081425 199 3 0.6429115776081425
0.6085090648854963 199 4 0.6085090648854963
0.6061133905852417 199 5 0.6061133905852417
0.6613309478371502 199 6 0.6613309478371502
0.8074013994910942 199 7 0.8074013994910942
1.0652851463104325 199 8 1.0652851463104325
1.3910256043257 199 9 1.3910256043257
1.572614503816794 199 10 1.572614503816794
1.6664716921119591 199 11 1.6664716921119591
1.737061386768448 199 12 1.737061386768448
1.6496897264631043 199 13 1.6496897264631043
1.5775311704834605 199 14 1.5775311704834605
1.5364451335877862 199 15 1.5364451335877862
1.5804158715012722 199 16 1.5804158715012722
1.688876272264631 199 17 1.688876272264631
1.6268781806615775 199 18 1.6268781806615775
1.5562549300254451 199 19 1.5562549300254451
1.4690408715012722 199 20 1.4690408715012722
1.442962786259542 199 21 1.442962786259542
1.397400127226463 199 22 1.397400127226463
1.206293893129771 199 23 1.206293893129771
0.9884405216284988 200 0 0.9884405216284988
0.8065095419847329 200 1 0.8065095419847329
0.688316475826972 200 2 0.688316475826972
0.6370739503816795 200 3 0.6370739503816795
0.6164578562340967 200 4 0.6164578562340967
0.6013791348600509 200 5 0.6013791348600509
0.6305516857506361 200 6 0.6305516857506361
0.7133710241730279 200 7 0.7133710241730279
0.8939728053435113 200 8 0.8939728053435113
1.1533866094147582 200 9 1.1533866094147582
1.412930661577608 200 10 1.412930661577608
1.5551999045801526 200 11 1.5551999045801526
1.673109732824427 200 12 1.673109732824427
1.6186388358778627 200 13 1.6186388358778627
1.505955788804071 200 14 1.505955788804071
1.394162372773537 200 15 1.394162372773537
1.382173027989822 200 16 1.382173027989822
1.4441657124681937 200 17 1.4441657124681937
1.4432856234096694 200 18 1.4432856234096694
1.4056404262086513 200 19 1.4056404262086513
1.3843549618320612 200 20 1.3843549618320612
1.396649332061069 200 21 1.396649332061069
1.4275963740458013 200 22 1.4275963740458013
1.2123920165394404 200 23 1.2123920165394404
0.9356060750636132 201 0 0.9356060750636132
0.7376451972010178 201 1 0.7376451972010178
0.6482687659033078 201 2 0.6482687659033078
0.6066067111959287 201 3 0.6066067111959287
0.5901970419847329 201 4 0.5901970419847329
0.5943885178117048 201 5 0.5943885178117048
0.7100644083969466 201 6 0.7100644083969466
0.9511836832061068 201 7 0.9511836832061068
1.264988072519084 201 8 1.264988072519084
1.5143051844783717 201 9 1.5143051844783717
1.621590330788804 201 10 1.621590330788804
1.711441475826972 201 11 1.711441475826972
1.7464538804071248 201 12 1.7464538804071248
1.687792461832061 201 13 1.687792461832061
1.6430629770992369 201 14 1.6430629770992369
1.656130089058524 201 15 1.656130089058524
1.7610289440203564 201 16 1.7610289440203564
1.878220737913486 201 17 1.878220737913486
1.7276335877862596 201 18 1.7276335877862596
1.5647083333333334 201 19 1.5647083333333334
1.4495674300254455 201 20 1.4495674300254455
1.482048664122137 201 21 1.482048664122137
1.5210593193384223 201 22 1.5210593193384223
1.2363198155216286 201 23 1.2363198155216286
0.9340617244670698 202 0 0.93489931604899
0.7323291441298123 202 1 0.7407992683314776
0.6538507795100222 202 2 0.6518549387625258
0.6190225898822781 202 3 0.6219793224113249
0.6052158765510658 202 4 0.6114774932400191
0.6309082087177855 202 5 0.6274087800222682
0.7398415526566975 202 6 0.7496448226499125
0.9763223035316576 202 7 0.9969826626371878
1.309849029589564 202 8 1.3256985843804676
1.5766177219217306 202 9 1.5878140607602989
1.7147416481069042 202 10 1.722629553045968
1.7741568565065224 202 11 1.7726010815969462
1.8092402163538024 202 12 1.8217949737553685
1.7311624244352528 202 13 1.7530106569110864
1.6964277760101811 202 14 1.7192653093685384
1.690131084950684 202 15 1.7186879274693811
1.7978942093541204 202 16 1.850279465563862
1.920706967865097 202 17 1.981481151582631
1.768244034362075 202 18 1.814189279465564
1.57049761374483 202 19 1.6548592333386354
1.4683121221762647 202 20 1.527374900588516
1.5042877823735283 202 21 1.5211208843645618
1.5266045179764558 202 22 1.540791633529505
1.2372554883868916 202 23 1.258993955781772
0.9201456078930615 203 0 0.9405149491094148
0.7259740611075748 203 1 0.7357468193384225
0.6394516231699554 203 2 0.6524659669211196
0.6084217059197963 203 3 0.6165329198473283
0.6035502864417569 203 4 0.6123037531806617
0.6205362826225334 203 5 0.6177312340966921
0.7379761298535964 203 6 0.7397633587786259
1.002718809675366 203 7 1.021844465648855
1.3006249204328453 203 8 1.3654737595419848
1.5944729471674093 203 9 1.615428276081425
1.686447008274984 203 10 1.718559796437659
1.7279301400381923 203 11 1.756619751908397
1.7807753023551878 203 12 1.8031612595419848
1.7016123488224062 203 13 1.7270459605597963
1.6676890515595162 203 14 1.655651876590331
1.6821667727562064 203 15 1.6707935750636134
1.7536686823679186 203 16 1.7603223600508904
1.889971992361553 203 17 1.886701017811705
1.7502612985359642 203 18 1.7464996819338423
1.575244589433482 203 19 1.5441614185750636
1.4807017823042647 203 20 1.4252773536895675
1.477795830681095 203 21 1.4135505725190838
1.5284368236791852 203 22 1.5137523854961832
1.2649369828134944 203 23 1.26791618956743
0.9459985673352436 204 0 0.955816823024328
0.7406435848455906 204 1 0.7513102242009858
0.653347182425979 204 2 0.6603390046112259
0.6196859280483922 204 3 0.6232968675465097
0.617056829035339 204 4 0.6119597710287804
0.6218960522126712 204 5 0.6155708379710606
0.7329614772365488 204 6 0.7347597392272222
0.980487265202165 204 7 1.0128085546191763
1.3022293855460043 204 8 1.3551854030847512
1.575302929003502 204 9 1.5899960248052156
1.6797636103151865 204 10 1.6503781205279058
1.728920407513531 204 11 1.6868463984735251
1.7915967844635463 204 12 1.7626807123549053
1.717458452722063 204 13 1.7041663221497854
1.6608295128939827 204 14 1.6636815073938622
1.6853847500795924 204 15 1.6628960089044365
1.7648791786055398 204 16 1.7530585148672286
1.8751214581343525 204 17 1.901107489266974
1.7556813116841767 204 18 1.772743520432501
1.6030762496020374 204 19 1.5817816823024329
1.5239516077682267 204 20 1.500329464143743
1.5228823623049983 204 21 1.4928494196215614
1.518427889207259 204 22 1.5086072507552872
1.2495977395733842 204 23 1.255922563205597
0.948312629399586 205 0 0.951767334605598
0.7506290810638636 205 1 0.7408287213740459
0.664888198757764 205 2 0.660975986005089
0.6256470775601211 205 3 0.6222665394402035
0.6169848702022614 205 4 0.6059064885496184
0.6296547220895047 205 5 0.6304982506361324
0.7298365981844243 205 6 0.7297614503816794
0.9797757604714126 205 7 0.9839198473282442
1.3365954769867814 205 8 1.329968193384224
1.616128364389234 205 9 1.601933524173028
1.7341143494186977 205 10 1.7246073473282444
1.754498964803313 205 11 1.7626145038167935
1.7832005096352923 205 12 1.7845714058524174
1.7448880394967352 205 13 1.7206455152671756
1.6841689759515848 205 14 1.6467838740458014
1.6580764452938366 205 15 1.6325559796437656
1.7165863991081385 205 16 1.6794115776081424
1.778507724159898 205 17 1.7729363867684478
1.7421213569039655 205 18 1.6728358778625954
1.5596235069278548 205 19 1.5366482188295163
1.4597276636407073 205 20 1.4113640267175571
1.4460624303233 205 21 1.4179643765903307
1.477080586080586 205 22 1.482907124681934
1.2697978977544195 205 23 1.283365776081425
1.0256194873427795 206 0 1.0216790712468191
0.8241092182773443 206 1 0.8088090012722646
0.691704664862283 206 2 0.6970294211195929
0.6396975003980258 206 3 0.6429115776081425
0.6120369367935042 206 4 0.6085090648854963
0.6063107785384494 206 5 0.6061133905852417
0.6643445311256169 206 6 0.6613309478371502
0.8160554051902563 206 7 0.8074013994910942
1.1046650214933929 206 8 1.0652851463104325
1.431194714217481 206 9 1.3910256043257
1.6188622830759434 206 10 1.572614503816794
1.6506467123069577 206 11 1.6664716921119591
1.70750501512498 206 12 1.737061386768448
1.6668100620920236 206 13 1.6496897264631043
1.5704555007164462 206 14 1.5775311704834605
1.5316483044101257 206 15 1.5364451335877862
1.5468377646871518 206 16 1.5804158715012722
1.6742177997134216 206 17 1.688876272264631
1.636343416653399 206 18 1.6268781806615775
1.545472695430664 206 19 1.5562549300254451
1.489061295971979 206 20 1.4690408715012722
1.5161167011622352 206 21 1.442962786259542
1.4422735233243114 206 22 1.397400127226463
1.2438817067345964 206 23 1.206293893129771
1.0231357847819165 207 0 0.9884405216284988
0.8505093919134034 207 1 0.8065095419847329
0.7293981216173193 207 2 0.688316475826972
0.662433142311366 207 3 0.6370739503816795
0.6264597262018465 207 4 0.6164578562340967
0.6235292900350207 207 5 0.6013791348600509
0.6458637376631645 207 6 0.6305516857506361
0.7245561922954473 207 7 0.7133710241730279
0.908396211397644 207 8 0.8939728053435113
1.1690289716650748 207 9 1.1533866094147582
1.429274594078319 207 10 1.412930661577608
1.5732624960203758 207 11 1.5551999045801526
1.662391276663483 207 12 1.673109732824427
1.6016816300541228 207 13 1.6186388358778627
1.518122572429163 207 14 1.505955788804071
1.4109606813116842 207 15 1.394162372773537
1.4066832219038523 207 16 1.382173027989822
1.4700095510983764 207 17 1.4441657124681937
1.511218720152817 207 18 1.4432856234096694
1.429984399872652 207 19 1.4056404262086513
1.3955093919134034 207 20 1.3843549618320612
1.4462581980261064 207 21 1.396649332061069
1.4406798790194206 207 22 1.4275963740458013
1.201492518306272 207 23 1.2123920165394404
0.936921852618176 208 0 0.9356060750636132
0.750626770650963 208 1 0.7376451972010178
0.6613160910393124 208 2 0.6482687659033078
0.6244620404265478 208 3 0.6066067111959287
0.6126815215661309 208 4 0.5901970419847329
0.6274421454719084 208 5 0.5943885178117048
0.7327025306382301 208 6 0.7100644083969466
0.9579979309247176 208 7 0.9511836832061068
1.2660303994906892 208 8 1.264988072519084
1.5257590323094066 208 9 1.5143051844783717
1.6677671494508992 208 10 1.621590330788804
1.7044477160592073 208 11 1.711441475826972
1.7694104727041222 208 12 1.7464538804071248
1.711510106636957 208 13 1.687792461832061
1.6406601941747574 208 14 1.6430629770992369
1.6473393283463311 208 15 1.656130089058524
1.7723940792614994 208 16 1.7610289440203564
1.871884768422728 208 17 1.878220737913486
1.7423928059844025 208 18 1.7276335877862596
1.5630900843546078 208 19 1.5647083333333334
1.4739785134489891 208 20 1.4495674300254455
1.514835588094859 208 21 1.482048664122137
1.516515836383893 208 22 1.5210593193384223
1.2104730224415088 208 23 1.2363198155216286
0.9301099809281628 209 0 0.9340617244670698
0.7409930069930071 209 1 0.7323291441298123
0.6575189129052766 209 2 0.6538507795100222
0.625837889383344 209 3 0.6190225898822781
0.61738270820089 209 4 0.6052158765510658
0.6283490146217419 209 5 0.6309082087177855
0.7339559758423395 209 6 0.7398415526566975
0.9637363318499682 209 7 0.9763223035316576
1.2983602987921168 209 8 1.309849029589564
1.550549904640814 209 9 1.5766177219217306
1.6988903369357915 209 10 1.7147416481069042
1.7212329942784488 209 11 1.7741568565065224
1.778585187539733 209 12 1.8092402163538024
1.7241678321678322 209 13 1.7311624244352528
1.6914489114889562 209 14 1.6964277760101811
1.7228960750039728 209 15 1.690131084950684
1.833526457969172 209 16 1.7978942093541204
1.956690767519466 209 17 1.920706967865097
1.8168107420943904 209 18 1.768244034362075
1.61606340378198 209 19 1.57049761374483
1.5134662323216272 209 20 1.4683121221762647
1.551544573335452 209 21 1.5042877823735283
1.5525429842682346 209 22 1.5266045179764558
1.2386121086921975 209 23 1.2372554883868916
0.929255153821757 210 0 0.9201456078930615
0.7315629559150015 210 1 0.7259740611075748
0.6462916270218839 210 2 0.6394516231699554
0.6186140183951792 210 3 0.6084217059197963
0.611615445607358 210 4 0.6035502864417569
0.6299589280050745 210 5 0.6205362826225334
0.7140761179828734 210 6 0.7379761298535964
0.9816319378369808 210 7 1.002718809675366
1.3145022201078338 210 8 1.3006249204328453
1.5915505867427846 210 9 1.5944729471674093
1.699559308594989 210 10 1.686447008274984
1.7208024104027912 210 11 1.7279301400381923
1.7907592768791627 210 12 1.7807753023551878
1.736323501427212 210 13 1.7016123488224062
1.656392166190929 210 14 1.6676890515595162
1.6463763082778304 210 15 1.6821667727562064
1.773350777037742 210 16 1.7536686823679186
1.8902053599746276 210 17 1.889971992361553
1.7584578179511574 210 18 1.7502612985359642
1.606500317158262 210 19 1.575244589433482
1.527215350459879 210 20 1.4807017823042647
1.58049032667301 210 21 1.477795830681095
1.5250968918490326 210 22 1.5284368236791852
1.2469509990485252 210 23 1.2649369828134944
0.9436047837795026 211 0 0.9459985673352436
0.7428688420719151 211 1 0.7406435848455906
0.6563974338666245 211 2 0.653347182425979
0.6135624900997941 211 3 0.6196859280483922
0.6067418026294946 211 4 0.617056829035339
0.62391763028671 211 5 0.6218960522126712
0.721876445430065 211 6 0.7329614772365488
0.9894229367970854 211 7 0.980487265202165
1.302645018216379 211 8 1.3022293855460043
1.56815713606843 211 9 1.575302929003502
1.6727620782512278 211 10 1.6797636103151865
1.7217397433866626 211 11 1.728920407513531
1.7678450815776967 211 12 1.7915967844635463
1.6817501980041183 211 13 1.717458452722063
1.6248393790590845 211 14 1.6608295128939827
1.6306117535244733 211 15 1.6853847500795924
1.6935794392523362 211 16 1.7648791786055398
1.797768414383019 211 17 1.8751214581343525
1.7150517978773958 211 18 1.7556813116841767
1.5599101853318549 211 19 1.6030762496020374
1.4974855060985268 211 20 1.5239516077682267
1.5874609535878346 211 21 1.5228823623049983
1.581610486298115 211 22 1.518427889207259
1.2840917155076823 211 23 1.2495977395733842
0.9709117833386124 212 0 0.948312629399586
0.7654979410833068 212 1 0.7506290810638636
0.6710947101678808 212 2 0.664888198757764
0.6328984795692113 212 3 0.6256470775601211
0.6139504276211594 212 4 0.6169848702022614
0.6387860310421286 212 5 0.6296547220895047
0.7371316122901489 212 6 0.7298365981844243
0.9848566677225216 212 7 0.9797757604714126
1.301777636997149 212 8 1.3365954769867814
1.5993134304719672 212 9 1.616128364389234
1.7598859676908458 212 10 1.7341143494186977
1.8053789990497309 212 11 1.754498964803313
1.868545929680076 212 12 1.7832005096352923
