mean_kwh day hour prediction date holiday
0.93489931604899 195 0 0.93489931604899 2009-07-15 False
0.7407992683314776 195 1 0.7407992683314776 2009-07-15 False
0.6518549387625258 195 2 0.6518549387625258 2009-07-15 False
0.6219793224113249 195 3 0.6219793224113249 2009-07-15 False
0.6114774932400191 195 4 0.6114774932400191 2009-07-15 False
0.6274087800222682 195 5 0.6274087800222682 2009-07-15 False
0.7496448226499125 195 6 0.7496448226499125 2009-07-15 False
0.9969826626371878 195 7 0.9969826626371878 2009-07-15 False
1.3256985843804676 195 8 1.3256985843804676 2009-07-15 False
1.5878140607602989 195 9 1.5878140607602989 2009-07-15 False
1.722629553045968 195 10 1.722629553045968 2009-07-15 False
1.7726010815969462 195 11 1.7726010815969462 2009-07-15 False
1.8217949737553685 195 12 1.8217949737553685 2009-07-15 False
1.7530106569110864 195 13 1.7530106569110864 2009-07-15 False
1.7192653093685384 195 14 1.7192653093685384 2009-07-15 False
1.7186879274693811 195 15 1.7186879274693811 2009-07-15 False
1.850279465563862 195 16 1.850279465563862 2009-07-15 False
1.981481151582631 195 17 1.981481151582631 2009-07-15 False
1.814189279465564 195 18 1.814189279465564 2009-07-15 False
1.6548592333386354 195 19 1.6548592333386354 2009-07-15 False
1.527374900588516 195 20 1.527374900588516 2009-07-15 False
1.5211208843645618 195 21 1.5211208843645618 2009-07-15 False
1.540791633529505 195 22 1.540791633529505 2009-07-15 False
1.258993955781772 195 23 1.258993955781772 2009-07-15 False
0.9405149491094148 196 0 0.9405149491094148 2009-07-16 False
0.7357468193384225 196 1 0.7357468193384225 2009-07-16 False
0.6524659669211196 196 2 0.6524659669211196 2009-07-16 False
0.6165329198473283 196 3 0.6165329198473283 2009-07-16 False
0.6123037531806617 196 4 0.6123037531806617 2009-07-16 False
0.6177312340966921 196 5 0.6177312340966921 2009-07-16 False
0.7397633587786259 196 6 0.7397633587786259 2009-07-16 False
1.021844465648855 196 7 1.021844465648855 2009-07-16 False
1.3654737595419848 196 8 1.3654737595419848 2009-07-16 False
1.615428276081425 196 9 1.615428276081425 2009-07-16 False
1.718559796437659 196 10 1.718559796437659 2009-07-16 False
1.756619751908397 196 11 1.756619751908397 2009-07-16 False
1.8031612595419848 196 12 1.8031612595419848 2009-07-16 False
1.7270459605597963 196 13 1.7270459605597963 2009-07-16 False
1.655651876590331 196 14 1.655651876590331 2009-07-16 False
1.6707935750636134 196 15 1.6707935750636134 2009-07-16 False
1.7603223600508904 196 16 1.7603223600508904 2009-07-16 False
1.886701017811705 196 17 1.886701017811705 2009-07-16 False
1.7464996819338423 196 18 1.7464996819338423 2009-07-16 False
1.5441614185750636 196 19 1.5441614185750636 2009-07-16 False
1.4252773536895675 196 20 1.4252773536895675 2009-07-16 False
1.4135505725190838 196 21 1.4135505725190838 2009-07-16 False
1.5137523854961832 196 22 1.5137523854961832 2009-07-16 False
1.26791618956743 196 23 1.26791618956743 2009-07-16 False
0.955816823024328 197 0 0.955816823024328 2009-07-17 False
0.7513102242009858 197 1 0.7513102242009858 2009-07-17 False
0.6603390046112259 197 2 0.6603390046112259 2009-07-17 False
0.6232968675465097 197 3 0.6232968675465097 2009-07-17 False
0.6119597710287804 197 4 0.6119597710287804 2009-07-17 False
0.6155708379710606 197 5 0.6155708379710606 2009-07-17 False
0.7347597392272222 197 6 0.7347597392272222 2009-07-17 False
1.0128085546191763 197 7 1.0128085546191763 2009-07-17 False
1.3551854030847512 197 8 1.3551854030847512 2009-07-17 False
1.5899960248052156 197 9 1.5899960248052156 2009-07-17 False
1.6503781205279058 197 10 1.6503781205279058 2009-07-17 False
1.6868463984735251 197 11 1.6868463984735251 2009-07-17 False
1.7626807123549053 197 12 1.7626807123549053 2009-07-17 False
1.7041663221497854 197 13 1.7041663221497854 2009-07-17 False
1.6636815073938622 197 14 1.6636815073938622 2009-07-17 False
1.6628960089044365 197 15 1.6628960089044365 2009-07-17 False
1.7530585148672286 197 16 1.7530585148672286 2009-07-17 False
1.901107489266974 197 17 1.901107489266974 2009-07-17 False
1.772743520432501 197 18 1.772743520432501 2009-07-17 False
1.5817816823024329 197 19 1.5817816823024329 2009-07-17 False
1.500329464143743 197 20 1.500329464143743 2009-07-17 False
1.4928494196215614 197 21 1.4928494196215614 2009-07-17 False
1.5086072507552872 197 22 1.5086072507552872 2009-07-17 False
1.255922563205597 197 23 1.255922563205597 2009-07-17 False
0.951767334605598 198 0 0.951767334605598 2009-07-18 False
0.7408287213740459 198 1 0.7408287213740459 2009-07-18 False
0.660975986005089 198 2 0.660975986005089 2009-07-18 False
0.6222665394402035 198 3 0.6222665394402035 2009-07-18 False
0.6059064885496184 198 4 0.6059064885496184 2009-07-18 False
0.6304982506361324 198 5 0.6304982506361324 2009-07-18 False
0.7297614503816794 198 6 0.7297614503816794 2009-07-18 False
0.9839198473282442 198 7 0.9839198473282442 2009-07-18 False
1.329968193384224 198 8 1.329968193384224 2009-07-18 False
1.601933524173028 198 9 1.601933524173028 2009-07-18 False
1.7246073473282444 198 10 1.7246073473282444 2009-07-18 False
1.7626145038167935 198 11 1.7626145038167935 2009-07-18 False
1.7845714058524174 198 12 1.7845714058524174 2009-07-18 False
1.7206455152671756 198 13 1.7206455152671756 2009-07-18 False
1.6467838740458014 198 14 1.6467838740458014 2009-07-18 False
1.6325559796437656 198 15 1.6325559796437656 2009-07-18 False
1.6794115776081424 198 16 1.6794115776081424 2009-07-18 False
1.7729363867684478 198 17 1.7729363867684478 2009-07-18 False
1.6728358778625954 198 18 1.6728358778625954 2009-07-18 False
1.5366482188295163 198 19 1.5366482188295163 2009-07-18 False
1.4113640267175571 198 20 1.4113640267175571 2009-07-18 False
1.4179643765903307 198 21 1.4179643765903307 2009-07-18 False
